Platform,Course,anon_screen_name,Week,Effort (sec)
OpenEdX,Engineering/CS101/Summer2014,7a4534075d2a4bb395a94b7c9c3a2831a68af0d1,2,1
OpenEdX,Engineering/CS101/Summer2014,3a115b62b694cbee033a31876e7738faf83ee9f6,2,1
OpenEdX,Engineering/CS101/Summer2014,be7d8b766593b71306c1f5dd7747bb669d3ae860,1,1
OpenEdX,Engineering/CS101/Summer2014,be7d8b766593b71306c1f5dd7747bb669d3ae860,2,1
OpenEdX,Engineering/CS101/Summer2014,e1f007dbf5fbe88fc2a1c4a2001eaa929a446289,1,759
OpenEdX,Engineering/CS101/Summer2014,9827464c8c94562ff8d36231cae9054f87a6af1d,3,991
OpenEdX,Engineering/CS101/Summer2014,9827464c8c94562ff8d36231cae9054f87a6af1d,5,1
OpenEdX,Engineering/CS101/Summer2014,9827464c8c94562ff8d36231cae9054f87a6af1d,6,1
OpenEdX,Engineering/CS101/Summer2014,528f63d6101f7d23bdb3e0acebc25445ed2a9d57,1,1
OpenEdX,Engineering/CS101/Summer2014,c8d7e3cf9e21312bf5854dbadecb026513ed628a,1,1
OpenEdX,Engineering/CS101/Summer2014,c8d7e3cf9e21312bf5854dbadecb026513ed628a,5,1
OpenEdX,Engineering/CS101/Summer2014,235acbee6f2c58740238ec25fcc2215aa5f2fff3,6,1
OpenEdX,Engineering/CS101/Summer2014,9904489e24e693316f294370eb4b44f4c175a2c6,2,2
OpenEdX,Engineering/CS101/Summer2014,881933cd50dce4273a945b1c5bd695c1faf9eaa3,7,1
OpenEdX,Engineering/CS101/Summer2014,ccc7fe80aff4a585551791537862f925989b4b8a,7,3
OpenEdX,Engineering/CS101/Summer2014,3963e53e8a4a9a6cc2dbc8f419bfe160d03a238e,3,1
OpenEdX,Engineering/CS101/Summer2014,036c3db22edf5b50f158d0dab1f83d161d6a156b,1,654
OpenEdX,Engineering/CS101/Summer2014,c9f8636aef072b3a70076a99a5e2c4d8c26acf41,3,5
OpenEdX,Engineering/CS101/Summer2014,4eae05a4369a4f7d71ceb4cec46fd46025f72b06,2,1
OpenEdX,Engineering/CS101/Summer2014,4eae05a4369a4f7d71ceb4cec46fd46025f72b06,4,1
OpenEdX,Engineering/CS101/Summer2014,24f903a457698d3089da8bb7615a1364608fadb9,2,354
OpenEdX,Engineering/CS101/Summer2014,094b3b413237000218e42765f2cf621ea547e6cd,5,1
OpenEdX,Engineering/CS101/Summer2014,c38a1810e22f6c4cc7f01ce2c32f32de1ce7b420,7,1
OpenEdX,Engineering/CS101/Summer2014,c38a1810e22f6c4cc7f01ce2c32f32de1ce7b420,8,1
OpenEdX,Engineering/CS101/Summer2014,e0ae1974d0c8a965b5a6e7a66634caf04469d7ac,1,1
OpenEdX,Engineering/CS101/Summer2014,d83be4d46830c299dac41417b2877094108d5c82,3,2
OpenEdX,Engineering/CS101/Summer2014,d1aee15d346f108715bef69c1785b7de0cb0a120,5,273
OpenEdX,Engineering/CS101/Summer2014,38dcfc741089c062e2b658e798f7873f09ea3d2a,2,1
OpenEdX,Engineering/CS101/Summer2014,38dcfc741089c062e2b658e798f7873f09ea3d2a,3,5
OpenEdX,Engineering/CS101/Summer2014,8c50798422c5835a3a30801ab4ec40c7d7deaaae,2,1
OpenEdX,Engineering/CS101/Summer2014,307de834f05b4e50423f84fc3bdc65750a74ce5f,4,1
OpenEdX,Engineering/CS101/Summer2014,307de834f05b4e50423f84fc3bdc65750a74ce5f,6,1
OpenEdX,Engineering/CS101/Summer2014,e9b03e70fef11b34878609833e39a298ec4c930c,5,1
OpenEdX,Engineering/CS101/Summer2014,b5b379af999b3a7e1002304111af68a1deca0b62,5,544
OpenEdX,Engineering/CS101/Summer2014,a63ccf231a12d61aa81fbf62428459591796ddaa,4,821
OpenEdX,Engineering/CS101/Summer2014,a63ccf231a12d61aa81fbf62428459591796ddaa,5,2
OpenEdX,Engineering/CS101/Summer2014,a63ccf231a12d61aa81fbf62428459591796ddaa,6,2
OpenEdX,Engineering/CS101/Summer2014,1097ac0fb083bb07c26fe6bf780f14fee4592126,4,189
OpenEdX,Engineering/CS101/Summer2014,1097ac0fb083bb07c26fe6bf780f14fee4592126,5,1
OpenEdX,Engineering/CS101/Summer2014,d60ceee60fa32117e9dfb7d4b18076daf09fd71f,1,1
OpenEdX,Engineering/CS101/Summer2014,3d0da620e4b85a3c5eb51dac474106f2eccc5939,6,705
OpenEdX,Engineering/CS101/Summer2014,0ddba66b9273b80c8a9a5ed452d0f68cf8ac8da3,1,1
OpenEdX,Engineering/CS101/Summer2014,29a104bd5ddf9c9ce10eadc28090c4741fdd8122,6,291
OpenEdX,Engineering/CS101/Summer2014,e9f3af9dbf4bc9a06590338256084d40bc4c6055,5,509
OpenEdX,Engineering/CS101/Summer2014,61dc3410166f002e57347c9ecd0fc8cd8fb7ff51,6,2
OpenEdX,Engineering/CS101/Summer2014,ff4b4948000445218afd277074e90f91d1cc54c8,1,29
OpenEdX,Engineering/CS101/Summer2014,056d98fc9627f4a11b75a5dc9434e2ed20ddb92d,2,2
OpenEdX,Engineering/CS101/Summer2014,78b5bc894ae7e23b88e042f03730a346b1ed3b50,2,4216
OpenEdX,Engineering/CS101/Summer2014,78b5bc894ae7e23b88e042f03730a346b1ed3b50,3,59
OpenEdX,Engineering/CS101/Summer2014,711a70a5890e10fc0304f1c239794dae2574e1bc,5,2
OpenEdX,Engineering/CS101/Summer2014,164a1581337ec0963e7b933717aeaffcce2df403,4,1
OpenEdX,Engineering/CS101/Summer2014,197d990c7ba84b122234fdcbb81e4d9de2565b0e,6,2
OpenEdX,Engineering/CS101/Summer2014,264bb98489087f9426478b18e7ddce149be27cfb,3,309
OpenEdX,Engineering/CS101/Summer2014,264bb98489087f9426478b18e7ddce149be27cfb,6,1
OpenEdX,Engineering/CS101/Summer2014,f24ca3596d12e74ff443b4cc91b5ab4b4e2274e9,2,1
OpenEdX,Engineering/CS101/Summer2014,f4178ae5f7398d736a532809ad4407e1bd2c7321,3,1265
OpenEdX,Engineering/CS101/Summer2014,24f1015fb3040d8e8e1cf541cc819caf544b69d7,2,1
OpenEdX,Engineering/CS101/Summer2014,04932196213756e44669039ab8b66bbca8259b78,7,1
OpenEdX,Engineering/CS101/Summer2014,96464da6460c3dbbd65df71c2bb86133cbe662a3,4,1
OpenEdX,Engineering/CS101/Summer2014,96464da6460c3dbbd65df71c2bb86133cbe662a3,5,1
OpenEdX,Engineering/CS101/Summer2014,d49c74a1eb18c41d37fcef29c421fa343a8e3ead,1,1
OpenEdX,Engineering/CS101/Summer2014,0a5a2c9608786a1c30aad4186aec5e267cc7b9d2,6,92
OpenEdX,Engineering/CS101/Summer2014,66454812132a1776d2dc0529cf3efb87ea18db0b,3,1
OpenEdX,Engineering/CS101/Summer2014,25b90a3b69196d653ecca344df3be6600335ad63,7,1
OpenEdX,Engineering/CS101/Summer2014,1788ef9c7c9fb476cd74ebe2e93aadd6a999cef7,1,1
OpenEdX,Engineering/CS101/Summer2014,28426f20f6e0d8c33a1f6443bda8b0a8a686da14,3,1
OpenEdX,Engineering/CS101/Summer2014,d677aecb2285fd76494c85a28c6284c9234e02cc,3,2
OpenEdX,Engineering/CS101/Summer2014,992aa9688c5ae30fabaf6fbd8cf939cce8cdd1e3,6,1
OpenEdX,Engineering/CS101/Summer2014,cb8e23221bd70bb675fb9d7c583818b9c5db6848,1,1
OpenEdX,Engineering/CS101/Summer2014,fde4ea19981e07c47958eaaa1ec0d253c89910b2,2,1
OpenEdX,Engineering/CS101/Summer2014,fde4ea19981e07c47958eaaa1ec0d253c89910b2,3,1
OpenEdX,Engineering/CS101/Summer2014,fde4ea19981e07c47958eaaa1ec0d253c89910b2,4,237
OpenEdX,Engineering/CS101/Summer2014,81886d2e02d9655ff9a404a52b24be861ec28397,5,546
OpenEdX,Engineering/CS101/Summer2014,d476ac3e3d131d387335a9221abb1f166b8131f9,5,1
OpenEdX,Engineering/CS101/Summer2014,8c064addda0838f4f3080d93e1df5f9107a64796,6,1
OpenEdX,Engineering/CS101/Summer2014,2d463aaf3a96485e2f477b92e16adc612838c04f,4,2
OpenEdX,Engineering/CS101/Summer2014,141bbe5153b363d899160d6e669f782e0c176780,2,1
OpenEdX,Engineering/CS101/Summer2014,47292ea532c4c5bb284f1f9d4a7fc0d4146a5fa3,2,1
OpenEdX,Engineering/CS101/Summer2014,47292ea532c4c5bb284f1f9d4a7fc0d4146a5fa3,7,1
OpenEdX,Engineering/CS101/Summer2014,ad38a8672c7abd62847c5bbba3c91b615a99f161,1,1
OpenEdX,Engineering/CS101/Summer2014,6c8469f854b10468cbd278547d5887e10464339f,5,1659
OpenEdX,Engineering/CS101/Summer2014,4e151ee9bd3c9857898af13dcc59896a035c01c7,4,1
OpenEdX,Engineering/CS101/Summer2014,8e972ba1e5e16017eb02f8adc2e7661bb606529a,6,1043
OpenEdX,Engineering/CS101/Summer2014,24565827d7e7fcbc95238fb412514605caa7d124,1,1
OpenEdX,Engineering/CS101/Summer2014,24565827d7e7fcbc95238fb412514605caa7d124,2,1
OpenEdX,Engineering/CS101/Summer2014,24565827d7e7fcbc95238fb412514605caa7d124,4,1
